country,country_code,year,literacy_rate_female,literacy_rate_male,tertiary_enroll_female,tertiary_enroll_male
Bangladesh,BGD,2000,,,3.39689993858337,7.1028299331665
Bangladesh,BGD,2001,40.8199996948242,53.9000015258789,4.16593980789185,8.1896800994873
Bangladesh,BGD,2002,,,3.77570009231567,8.06861019134521
Bangladesh,BGD,2003,,,3.82463002204895,8.17222023010254
Bangladesh,BGD,2004,,,3.49539995193481,7.63119983673096
Bangladesh,BGD,2005,,,4.0955400466919,8.18284034729004
Bangladesh,BGD,2006,,,4.92251014709473,9.22000980377197
Bangladesh,BGD,2007,,,5.35538005828857,9.96450996398926
Bangladesh,BGD,2008,,,6.07565021514893,11.1552801132202
Bangladesh,BGD,2009,,,7.79169988632202,13.1744499206543
Bangladesh,BGD,2011,55.1199989318848,62.4799995422363,10.7772449343579,15.7351505073665
Bangladesh,BGD,2012,54.2400016784668,61.5400009155273,11.1552942440516,15.6681346773266
Bangladesh,BGD,2013,57.7900009155273,64.2099990844727,11.2585612257799,15.7035293298342
Bangladesh,BGD,2014,57.8600006103516,64.370002746582,11.3708454324275,15.7698591548559
Bangladesh,BGD,2015,62.25,68.0599975585938,12.7805603544816,18.3539569211807
Bangladesh,BGD,2016,69.9000015258789,75.620002746582,14.0572375786514,20.7269054603469
Bangladesh,BGD,2017,70.0899963378906,75.6999969482422,15.0024572231323,22.0194519591609
Bangladesh,BGD,2018,71.1800003051758,76.6699981689453,15.6417020491843,23.6137095654575
Bangladesh,BGD,2019,71.9499969482422,77.4400024414062,18.005333301552,27.7198031906312
Bangladesh,BGD,2020,72.0,77.8199996948242,18.9795942258367,26.7834243434686
Bangladesh,BGD,2021,73.6399993896484,79.2099990844727,19.9823403989508,28.346568515358
Bangladesh,BGD,2022,76.5400009155273,81.3899993896484,19.7358288021283,27.8530146986896
Bangladesh,BGD,2023,,,20.8052172080444,28.0307560970998
Brazil,BRA,2000,86.5,86.2300033569336,,
Brazil,BRA,2004,88.8099975585938,88.4100036621094,,
Brazil,BRA,2006,89.8600006103516,89.3499984741211,,
Brazil,BRA,2007,90.2300033569336,89.7699966430664,,
Brazil,BRA,2008,90.2200012207031,89.8399963378906,,
Brazil,BRA,2009,90.4100036621094,90.1699981689453,,
Brazil,BRA,2010,90.6800003051758,90.0599975585938,,
Brazil,BRA,2011,91.629997253418,91.1699981689453,,
